"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2014","동구","여자",408.5,423.5,454,472,496.5,516,521,528,502.5,509,511.5,488.5,490,506.5,517,532,577,624.5,606.5,584.5,547,517,502.5,492.5,549,627.5,620.5,641,659,664,694,685,655,642,646.5
"2014","영도구","여자",614.5,670,720,745.5,736,726.5,757,789,695,697,732.5,673.5,630,656.5,687,705.5,748.5,792,835,849.5,755.5,711,714.5,773,830.5,880,908.5,912,931.5,974.5,997.5,1005.5,945.5,954,1003.5
"2014","부산진구","여자",1738,1847.5,1953.5,2051,2262.5,2428.5,2575,2711.5,2703,2642.5,2702,2664,2638.5,2672,2741.5,2878.5,3171,3257.5,3236,3151,2803,2613.5,2647,2644.5,2745.5,2871,2974,3048,3041,2964,3061,3125.5,2953,2927,3030
"2014","동래구","여자",1544,1618.5,1732,1779.5,1729.5,1729.5,1798,1818.5,1718.5,1698.5,1675,1634.5,1595,1581.5,1589,1735,1898.5,1958,2006,2050,1897,1778.5,1826.5,1916.5,2069,2205.5,2257,2322.5,2387.5,2436,2484.5,2521.5,2342,2266.5,2362
"2014","남구","여자",1503,1502,1591.5,1685,1767.5,1864.5,1959.5,2014,1819,1714,1726.5,1664.5,1646.5,1614.5,1617,1784.5,2008,2114.5,2151.5,2204.5,2062.5,1932,1989.5,2000.5,2102,2310,2371,2403,2444,2431.5,2486,2426.5,2193.5,2143.5,2160
"2014","북구","여자",1802,1963,2079,2175.5,2238.5,2238,2315.5,2312.5,2107,2029.5,1975,1915,1854.5,1796,1793,1863,2072,2178,2177,2151.5,1983,1917,1922.5,1952.5,2134.5,2354.5,2485,2593.5,2726.5,2863.5,3030,3089.5,2935.5,2886,2926.5
"2014","해운대구","여자",2584,2696,2826.5,2867,2840.5,2815,2741,2784.5,2592,2406.5,2348.5,2304,2313,2286,2343.5,2501.5,2793,3153.5,3287,3354.5,3100.5,3024,3135,3231.5,3564,3808,3961,4193,4324,4170,4152.5,4155.5,3787.5,3650.5,3781
"2014","사하구","여자",1916.5,2059,2166.5,2186,2207,2308.5,2401,2395.5,2150.5,2023.5,2006.5,1979,1964,2033.5,2134,2299.5,2561,2717,2744.5,2633,2322.5,2252.5,2288.5,2289.5,2491.5,2621,2656.5,2745,2898,2983,3016,3002.5,2831.5,2828.5,2889.5
"2014","금정구","여자",1297.5,1401.5,1478,1599,1719,1832.5,1880.5,1883,1745.5,1614.5,1596,1597.5,1480,1391,1436.5,1523,1641.5,1708.5,1782.5,1763.5,1570.5,1474,1473,1525.5,1640.5,1744,1856.5,1969,2054,2122.5,2187,2238,2141.5,2120.5,2207
"2014","강서구","여자",277.5,303.5,294.5,318.5,323.5,329.5,346,354,352.5,355.5,366,362,383,411,455.5,564.5,627,728.5,716.5,695.5,643,559,539,515.5,537.5,529,484,469,471.5,466,446,471.5,447,428.5,466.5
"2014","연제구","여자",1012.5,1078.5,1150.5,1193,1230,1212,1264.5,1339.5,1268,1266,1222,1180,1201,1229,1252.5,1360.5,1484,1590,1652,1663,1484.5,1401.5,1417,1416,1561,1662.5,1668,1742.5,1788,1758,1808,1841,1705.5,1642.5,1669.5
"2014","수영구","여자",813,874,924.5,961.5,993,1019,1072.5,1159,1112.5,1087.5,1095,1132.5,1157.5,1173.5,1232.5,1268,1392.5,1497,1482,1437,1294,1218,1185,1167.5,1278.5,1350.5,1375.5,1418,1464.5,1449,1429,1420.5,1323.5,1300,1388.5
"2014","사상구","여자",1175.5,1303,1406,1473,1587.5,1654,1675,1727.5,1612.5,1571.5,1562,1529,1506,1551,1570.5,1653.5,1832,1938.5,1932.5,1816.5,1655,1513,1511.5,1495.5,1575.5,1691.5,1723.5,1753,1885.5,2008,2134,2241.5,2129,2116.5,2213.5
"2014","기장군","여자",714.5,686.5,684.5,694.5,673,648,655.5,667,635.5,559.5,573.5,594.5,661.5,719.5,819,999.5,1194,1350,1493.5,1512,1385.5,1323.5,1266,1219.5,1294,1321.5,1281,1201.5,1146,1102,1057,1007,889,866.5,896
"2015","서울특별시","여자",51797.5,51945,54752,57326.5,60837.5,63889,65557,69001.5,73581.5,72965,72277,74474,75550,76325.5,78285.5,79565.5,83154.5,89670,91838.5,90215.5,88631.5,79832.5,75876,77587,76774.5,80014.5,84548.5,86821.5,89217.5,90323.5,88617,87346.5,84648,77143.5,75896
"2015","종로구","여자",796.5,791.5,791.5,823,1023,1084.5,1089.5,1102.5,1187,1185,1179,1126,1128,1137.5,1145,1101,1078.5,1137.5,1159.5,1165,1123.5,1010,1008,1027,1039,1141.5,1262.5,1320,1386,1449,1404,1384,1337.5,1250.5,1203
"2015","중구","여자",465.5,486.5,533,584.5,635,714,758.5,839.5,915.5,902,867,925,914,894,967,992.5,1035,1114,1094,1098,1057.5,953.5,901.5,897.5,903.5,940.5,931.5,954,997,1009,1003.5,997,965.5,851.5,882
"2015","용산구","여자",1018,1006.5,1039.5,1082,1212,1359,1401,1457.5,1595.5,1598.5,1572,1606,1672,1757,1818,1838.5,1925.5,2122,2228,2187,2119.5,1859.5,1798.5,1817,1843,1879,1942,2031,2127,2079.5,2094,2000,1870.5,1692.5,1653
"2015","성동구","여자",1357,1386.5,1447,1562,1716.5,1825,1937.5,2009.5,2139,2150,2192.5,2238,2258.5,2253.5,2304,2417.5,2481.5,2702.5,2837,2796,2737,2464.5,2266,2286,2286.5,2396,2497.5,2523,2541,2582.5,2532.5,2441,2336.5,2168,2188.5
